Macro Região;UF;Região;Município;Código Município;Qtd. Empregos Hospedagem;Qtd. Estabelecimentos Hospedagem;Demanda Internacional;Demanda Doméstica;Cluster 2017 (Categoria)
Norte ;AC;Caminhos do Pacífico;Assis Brasil;1200054;2;1;0;27.381;D
Norte ;AC;Caminhos do Pacífico;Brasiléia;1200104;15;6;0;31.090;D
Norte ;AC;Caminhos das Aldeias e da Biodiversidade;Cruzeiro do Sul;1200203;62;13;247;24.475;C
Norte ;AC;Caminhos do Pacífico;Epitaciolândia;1200252;34;6;0;4.785;D
Norte ;AC;Caminhos das Aldeias e da Biodiversidade;Feijó;1200302;10;5;0;11.536;D
Norte ;AC;Caminhos das Aldeias e da Biodiversidade;Mâncio Lima;1200336;0;1;0;0;D
Norte ;AC;Caminhos das Aldeias e da Biodiversidade;Marechal Thaumaturgo;1200351;0;0;102;20.587;D
Norte ;AC;Caminhos da Revolução;Plácido de Castro;1200385;3;0;0;0;E
Norte ;AC;Caminhos da Revolução;Porto Acre;1200807;0;0;102;0;D
Norte ;AC;Caminhos das Aldeias e da Biodiversidade;Porto Walter;1200393;1;1;0;0;D
Norte ;AC;Conheça Rio Branco;Rio Branco;1200401;450;31;3.128;464.108;A
Norte ;AC;Caminhos das Aldeias e da Biodiversidade;Sena Madureira;1200500;15;4;0;3.182;D
Norte ;AC;Caminhos das Aldeias e da Biodiversidade;Tarauacá;1200609;22;7;72;19.114;C
Norte ;AC;Caminhos de Chico Mendes;Xapuri;1200708;1;3;0;22.979;D
Norte;AM;Polo Alto Solimões;Amaturá;1300060;0;0;0;0;E
Norte;AM;Polo Alto Solimões;Atalaia do Norte;1300201;0;1;0;946;D
Norte;AM;Polo Amazônico;Autazes;1300300;11;3;0;25.751;D
Norte;AM;Polo Alto Rio Negro;Barcelos;1300409;5;4;529;8.821;D
Norte;AM;Polo Alto Solimões;Benjamin Constant;1300607;0;1;0;946;D
Norte;AM;Polo Madeira;Borba;1300805;0;1;100;2.302;D
Norte;AM;Polo Amazônico;Careiro;1301100;6;9;0;20.450;C
Norte;AM;Polo Amazônico;Careiro da Várzea;1301159;0;0;0;9.654;D
Norte;AM;Polo Médio Solimões;Coari;1301209;10;9;0;78.339;C
Norte;AM;Polo Madeira;Humaitá;1301704;36;7;394;4.681;C
