"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"SERVIÇOS";"SEGMENTOS TURISTICOS";"LINGUAS"
NETUNO CURSO E PRATICA ESPORTIVA LTDA;SCUBALAB RJ;"19.630.023/0001-08";Empresa Individual (EIRELI);;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Serviços de Treinamento, Instrução ou Qualificação;22.795.493;RJ;Rio de Janeiro;Recreio dos Bandeirantes;RUAPROFESSORA ISOLINA SARTORE,140;(21) 3988-3183;;alejandro.olalla@hotmail.com;;;"19.081809.75.0001-0";"8591-1/00-MERGULHO; ENSINO, CURSO, ESCOLA DE (Primário), 7912-1/00-OPERAÇÃO DE TURISMO; SERVIÇOS DE (Secundário), 7911-2/00-TURISMO; AGÊNCIA DE (Secundário)";Cursos, Treinamentos ou Qualificações para Prestadores de Serviços Turísticos;;Espanhol ,Inglês
GABRIEL RENATO DA SILVA LINS;MAANAIM TURISMO;"21.915.209/0001-55";Empresário Individual (Não MEI);;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;69.901.414;AC;Rio Branco;CONJUNTO GUIOMARD SANTOS;AV. CENTRAL, 10 - SALA.7 - BAIRRO: BOSQUE;(68) 9971-3232;(68) 8119-4422;bosco.turismo@gmail.com;;;"01.069702.75.0001-8";"7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Primário), 7912-1/00-ORGANIZADORES DE VIAGEM; SERVIÇOS DE (Secundário), 7912-1/00-OPERAÇÕES DE VIAGEM; SERVIÇOS DE (Secundário), 7990-2/00-BILHETES DE PASSAGEM PARA QUALQUER FINALIDADE; VENDA DE (Secundário), 4789-0/01-ARTIGOS DE ARTESANATO; COMÉRCIO VAREJISTA (Secundário), 8230-0/01-ORGANIZAÇÃO, PRODUÇÃO E PROMOÇÃO DE ENCONTROS E CONGRESSOS, SERVIÇOS DE (Secundário), 7490-1/99-CONSULTORIA EM QUESTÕES DE SUSTENTABILIDADE DO MEIO AMBIENTE (Secundário), 7490-1/99-CONSULTORIA, ASSESSORIA EM PROJETOS DE MEIO AMBIENTE; SERVIÇOS DE (Secundário), 7911-2/00-RESERVA DE HOTEL; SERVIÇOS DE (Secundário), 7911-2/00-VENDA DE PASSAGNES AÉREAS; AGÊNCIA DE EMPRESA ESTRANGEIRA DE (Secundário), 7912-1/00-ORGANIZAÇÃO DE PACOTES DE VIAGEM; SERVIÇOS DE (Secundário), 9329-8/99-OUTRAS ATIVIDADES DE RECREAÇÃO E LAZER NÃO ESPECIFICADAS ANTERIORMENTE     (Secundário), 9319-1/01-ORGANIZAÇÃO, PRODUÇÃO E PROMOÇÃO DE EVENTOS ESPORTIVOS; SERVIÇOS DE (Secundário), 7912-1/00-OPERADORES TURÍSTICOS (Secundário)";Arvorismo ,Caminhadas ,Rafting ,Rapel ,Tirolesa ,Observação da fauna ,Observação da flora ,Turismo fora de estrada em veículos 4 X 4 ou bugue ,Passeios em barcos e lanchas;Ecoturismo,Turismo de Negócios e Eventos,Turismo de Sol e Praia;Espanhol
MANOEL MACIEL CARDOSO 62529722153;REVISTA GUIA TURÍSTICO E CULTURAL REGIONAL DO TOCANTINS;"16.690.132/0001-22";Microempreendedor Individual (MEI);;Mei;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;77.809.240;TO;Araguaína;Eldorado;RUA LIBANO 160;(63) 99207-6495;(63) 98490-9063;manoel22@hotmail.com;;www.guiaturismobrasil.eco.br;"27.065415.75.0001-4";"7990-2/00-TURISMO; SERVIÇOS DE INFORMAÇÃO E ASSISTÊNCIA AO (Primário)";Turismo Cívico (ou visitas a monumentos e celebrações cívicas) ,Turismo Religioso (ou visitas a espaços e eventos religiosos) ,Turismo Gastronômico (ou visitas gastronômicas);Turismo Cultural,Turismo de Negócios e Eventos;Nenhuma das Opções
ZILDA GABRIELA RESE 01492479900;ATELIE DAS ARTEIRAS;"24.698.548/0001-15";Microempreendedor Individual (MEI);;Mei;Em Operação;Prestador Especializado em Segmentos Turísticos;Venda ou Locação de Produtos e Equipamentos;89.669.000;SC;Ipira;Ipira;R QUINZE DE AGOSTO, 277, SL 03;(49) 8819-1162;;gabirese@ig.com.br;;;"24.082304.75.0001-3";"4789-0/01-ARTIGOS DE ARTESANATO; COMÉRCIO VAREJISTA (Secundário)";Venda de Artigos de Artesanato;;Alemão
SCUBADODIVE ADVENTURE TURISMO LTDA ME;SCUBADODIVE ADVENTURE TURISMO;"14.072.734/0001-90";Sociedade Empresária;;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Venda ou Locação de Produtos e Equipamentos;11.600.000;SP;São Sebastião;PORTO GRANDE;RUA ERNESTO TAVOLARO DE SIQUEIRA, N° 45 ;(12) 3862-6412;;cealedoprado@hotmail.com;contato@scubadodive.com.br;www.scubadodive.com.br;"26.088032.75.0001-2";"8591-1/00-MERGULHO; ENSINO, CURSO, ESCOLA DE (Primário), 9329-8/99-NAÚTICA E LAZER; LOCAÇÃO DE, ALUGUEL DE  (Secundário)";Locação de equipamentos náuticos (jet ski, banana boat, caiaque, esqui-aquático etc);Turismo de Aventura,Turismo de Esporte,Turismo Náutico;Nenhuma das Opções
KLEYBER JORGE DA SILVA 07661538601;KS CONSULTORIA;"18.264.177/0001-60";Empresário Individual (Não MEI);;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Serviços de Consultoria;37.902.104;MG;Passos;Parque Residencial Eldorado;RUA ELDORADO 739;(35) 99993-3901;(35) 99993-3901;kleybersilveira@hotmail.com;;;"11.078632.75.0001-1";"7990-2/00-TURISMO; SERVIÇOS DE INFORMAÇÃO E ASSISTÊNCIA AO (Secundário)";Consultoria em Marketing ,Consultoria da Área de Estatística/Economia para o Turismo;Ecoturismo,Turismo Náutico,Turismo Rural;Nenhuma das Opções
ADRENAILHA COMERCIO E SERVIÇOS EM AVENTURAS LTDA - ME;ADRENAILHA;"05.334.041/0001-38";Sociedade Empresária;"01/12/2002";Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;88.060.402;SC;Florianópolis;São João do Rio Vermelho;SRV ALTINO MANOEL CLAUDINO, 201;(48) 3012-3358;(48) 9621-5047;adrenailha@gmail.com;sergio@adrenailha.com.br;WWW.ADRENAILHA.COM.BR;"24.006584.75.0001-4";"9329-8/99-OUTRAS ATIVIDADES DE RECREAÇÃO E LAZER NÃO ESPECIFICADAS ANTERIORMENTE     (Secundário)";Serviços de Escafandria e Mergulho ,Caminhadas ,Escalada ,Rapel ,Observação da fauna ,Observação da flora ,Observação de formações geológicas ,Canoagem ,Montanhismo ,Passeios em barcos e lanchas;Ecoturismo,Turismo de Aventura,Turismo Náutico;Espanhol ,Inglês
CATARINA MARIA MARINO - ME;INTERNACIONAL CENTER;"41.324.567/0001-09";Empresário Individual (Não MEI);;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Serviços de Treinamento, Instrução ou Qualificação;60.110.301;CE;Fortaleza;Aldeota;RUA JOÃO CORDEIRO, 1301-A;(85) 3091-4838;;isc.comercial@gmail.com;catarinammarino@hotmail.com;;"06.067212.75.0001-7";"7490-1/01-TRADUÇÃO, INTERPRETAÇÃO; SERVIÇOS DE (Primário), 7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Secundário), 8550-3/02-ATIVIDADES DE APOIO À EDUCAÇÃO; GESTÃO, ASSESSORIA, CONSULTORIA, ORIENTAÇÃO E ASSISTÊNCIA (Secundário)";Cursos, Treinamentos ou Qualificações para Prestadores de Serviços Turísticos;Turismo Cultural,Turismo de Negócios e Eventos,Estudos e Intercâmbio;Espanhol ,Inglês
IDENTIDADE CONSULTORIA EM TURISMO E HOSPITALIDADE LTDA - ME;IDENTIDADE CONSULTORIA EM TURISMO E HOSPITALIDADE LTDA - ME;"10.666.488/0001-44";Sociedade Simples;;Microempresa;Em Operação;Prestador Especializado em Segmentos Turísticos;Serviços de Consultoria;13.871.050;SP;São João da Boa Vista;Jardim São Manoel;RUA IGNACIO RUBINHO SANCHES, 62, FUNDOS;(11) 99895-6916;;misabino@yahoo.com.br;;www.identidadeconsultoria.com.br;"26.088141.75.0001-7";"7020-4/00-CONSULTORIA NA ADMINISTRAÇÃO DE EMPRESAS (Primário), 8550-3/02-GESTÃO, ASSESSORIA, CONSULTORIA, ORIENTAÇÃO E ASSISTÊNCIA PRESTADOS AO SISTEMA E AO PROCESSO EDUCACIONAL; SERVIÇOS DE (Secundário), 8550-3/02-ATIVIDADES DE APOIO À EDUCAÇÃO; GESTÃO, ASSESSORIA, CONSULTORIA, ORIENTAÇÃO E ASSISTÊNCIA (Secundário)";Consultoria em Marketing ,Serviços de Gestão, Assessoria, Consultoria, Orientação e Assistência Prestados em Projetos Turísticos ,Consultoria da Área de Estatística/Economia para o Turismo;Turismo Cultural,Turismo de Negócios e Eventos,Estudos e Intercâmbio;Inglês
EMPREENDIMENTOS TURISTICOS - ALTO DO FORMOSO LTDA - ME;PRAIA DA FIGUEIRA;"05.066.720/0001-73";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Prestador Especializado em Segmentos Turísticos;Operação de Serviços Especializados;79.290.000;MS;Bonito;Bonito;ROD. BONITO/FAZ. SÃO GERALDO S/N - KM 14 - ZONA RURAL;(67) 3255-1360;(67) 3255-6300;inaian@grupopraiaparque.com.br;rafaelluizbraga@me.com;www.grupopraiaparque.com.br;"12.057812.75.0001-0";"7990-2/00-SERVIÇOS DE RESERVAS E OUTROS SERVIÇOS DE TURISMO NÃO ESPECIFICADOS ANTERIORMENTE  (Primário)";Serviços de Escafandria e Mergulho ,Caminhadas ,Tirolesa;Ecoturismo,Turismo de Aventura,Turismo de Sol e Praia;Nenhuma das Opções
