UF;REGIAO;MUNICIPIO;CATEGORIA
AC;Caminhos do Pacífico;Assis Brasil;D
AC;Caminhos do Pacífico;Brasiléia;D
AC;Caminhos das Aldeias e da Biodiversidade;Cruzeiro do Sul;D
AC;Caminhos do Pacífico;Epitaciolândia;D
AC;Caminhos das Aldeias e da Biodiversidade;Feijó;D
AC;Caminhos das Aldeias e da Biodiversidade;Mâncio Lima;E
AC;Caminhos das Aldeias e da Biodiversidade;Marechal Thaumaturgo;D
AC;Caminhos da Revolução;Plácido de Castro;E
AC;Caminhos da Revolução;Porto Acre;E
AC;Caminhos das Aldeias e da Biodiversidade;Porto Walter;E
AC;Conheça Rio Branco;Rio Branco;A
AC;Caminhos das Aldeias e da Biodiversidade;Sena Madureira;D
AC;Caminhos das Aldeias e da Biodiversidade;Tarauacá;D
AC;Caminhos de Chico Mendes;Xapuri;D
AL;Caminhos do São Francisco;Água Branca;D
AL;Agreste;Arapiraca;B
AL;Costa dos Corais;Barra de Santo Antônio;D
AL;Lagoas e Mares do Sul;Barra de São Miguel;C
AL;Agreste;BELÉM;E
AL;Caminhos do São Francisco;Belo Monte;E
AL;Lagoas e Mares do Sul;Boca da Mata;D
AL;Agreste;Cacimbinhas;D
AL;Quilombos;Cajueiro;D
AL;Quilombos;Campestre;E
AL;Agreste;CAMPO ALEGRE;D
AL;Quilombos;Capela;D
AL;Quilombos;Colônia Leopoldina;E
AL;Lagoas e Mares do Sul;Coqueiro Seco;D
AL;Lagoas e Mares do Sul;Coruripe;C
AL;Caminhos do São Francisco;Delmiro Gouveia;C
AL;Região da Caatinga;Dois Riachos;E
AL;Lagoas e Mares do Sul;Feliz Deserto;D
AL;Agreste;Girau do Ponciano;D
AL;Quilombos;Ibateguara;D
AL;Agreste;Igaci;E
AL;Caminhos do São Francisco;Igreja Nova;D
AL;Costa dos Corais;Japaratinga;C
AL;Lagoas e Mares do Sul;Jequiá da Praia;D
AL;Quilombos;Joaquim Gomes;E
AL;Agreste;Junqueiro;D
AL;Grande Maceió;Maceió;A
AL;Região da Caatinga;Major Isidoro;D
AL;Costa dos Corais;Maragogi;B
AL;Região da Caatinga;MARAVILHA;E
AL;Lagoas e Mares do Sul;Marechal Deodoro;C
AL;Quilombos;Mar Vermelho;D
AL;Caminhos do São Francisco;Mata Grande;D
AL;Quilombos;Murici;D
AL;Região da Caatinga;Olho d'Água das Flores;D
AL;Caminhos do São Francisco;Olho d'Água do Casado;E
AL;Região da Caatinga;Olivença;E
AL;Caminhos do São Francisco;Palestina;E
AL;Agreste;Palmeira dos Índios;C
AL;Caminhos do São Francisco;Pão de Açúcar;D
AL;Costa dos Corais;Paripueira;D
AL;Costa dos Corais;Passo de Camaragibe;D
AL;Quilombos;Paulo Jacinto;D
AL;Caminhos do São Francisco;Penedo;C
AL;Caminhos do São Francisco;Piaçabuçu;D
AL;Lagoas e Mares do Sul;Pilar;D
AL;Caminhos do São Francisco;Piranhas;D
AL;Região da Caatinga;Poço das Trincheiras;E
AL;Costa dos Corais;Porto Calvo;D
AL;Costa dos Corais;Porto de Pedras;D
AL;Caminhos do São Francisco;Porto Real do Colégio;D
AL;Quilombos;Quebrangulo;E
AL;Grande Maceió;Rio Largo;D
AL;Lagoas e Mares do Sul;Roteiro;E
AL;Lagoas e Mares do Sul;Santa Luzia do Norte;E
AL;Região da Caatinga;Santana do Ipanema;D
AL;Caminhos do São Francisco;São Brás;D
AL;Quilombos;São José da Laje;D
AL;Lagoas e Mares do Sul;São Miguel dos Campos;D
AL;Costa dos Corais;São Miguel dos Milagres;C
AL;Agreste;SÃO SEBASTIÃO;D
AL;Região da Caatinga;Senador Rui Palmeira;E
AL;Agreste;Tanque d'Arca;E
AL;Agreste;Teotônio Vilela;D
AL;Caminhos do São Francisco;Traipu;D
AL;Quilombos;União dos Palmares;D
AL;Quilombos;Viçosa;D
AM;Polo Alto Solimões;Amaturá;E
AM;Polo Alto Solimões;Atalaia do Norte;D
AM;Polo Amazônico;Autazes;D
AM;Polo Alto Rio Negro;Barcelos;D
AM;Polo Alto Solimões;Benjamin Constant;D
